Trial,Lane,Traffic,Yield,eHMI,First_Car_Creation_Time,First_Car_Decel_Time,First_Car_eHMI_ON_Time,First_Car_Stop_Time,First_Car_eHMI_OFF_Time,First_Car_Accel_Start_Time,First_Car_Destroy_Time,Second_Car_Creation_Time,Second_Car_Decel_Time,Second_Car_eHMI_ON_Time,Second_Car_Stop_Time,Second_Car_eHMI_OFF_Time,Second_Car_Accel_Start_Time,Second_Car_Destroy_Time,Collision_Car,Collision_Time,Pedestrian_Enter_time,Pedestrian_Exit_Time
16,Two Lane,Two Car Same,Yield,eHMI A,0.250426650047302,N/A,N/A,N/A,N/A,N/A,0.870794773101807,N/A,N/A,N/A,N/A,N/A,N/A,0.870794773101807,N/A,N/A,0.237092316150665,0.821854889392853,
4,Two Lane,Single Car,Yield,eHMI A,0.250934690237045,N/A,N/A,N/A,N/A,N/A,0.886179625988007,0.926976263523102,1.14891445636749,1.14891445636749,N/A,N/A,N/A,N/A,N/A,N/A,0.249197989702225,0.834753274917603,
24,Four Lane,Single Car,Yield,eHMI B,0.249579086899757,N/A,N/A,N/A,N/A,N/A,0.729778707027435,N/A,N/A,N/A,N/A,N/A,N/A,0.729778707027435,N/A,N/A,0.0949967131018639,0.678057730197906,
5,Three Lane,Single Car,Yield,eHMI A,0.251424968242645,N/A,N/A,N/A,N/A,N/A,0.86305820941925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.227902367711067,0.81393176317215,
32,Three Lane,Two Car Same,No Yield,N/A,0.249543160200119,N/A,N/A,N/A,N/A,N/A,0.878424048423767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.244336351752281,0.82783031463623,
34,Two Lane,Two Car Same,Yield,eHMI B,0.250329107046127,N/A,N/A,N/A,N/A,N/A,0.8729327917099,0.901252388954163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.237251028418541,0.822688341140747,
22,Two Lane,Single Car,Yield,eHMI B,0.24985109269619,N/A,N/A,N/A,N/A,N/A,0.880481958389282,0.905412793159485,1.18268835544586,1.18268835544586,N/A,N/A,N/A,0.880481958389282,N/A,N/A,0.246375888586044,0.831336796283722,
9,Four Lane,Two Car Different,No Yield,N/A,0.250543624162674,N/A,N/A,N/A,N/A,N/A,0.812304139137268,0.250543624162674,N/A,N/A,N/A,N/A,N/A,0.812304139137268,N/A,N/A,0.178599670529366,0.762469112873077,
31,Two Lane,Two Car Same,No Yield,N/A,0.252650767564774,N/A,N/A,N/A,N/A,N/A,0.889678835868835,N/A,N/A,N/A,N/A,N/A,N/A,0.889678835868835,N/A,N/A,0.255874663591385,0.837926805019379,
30,Four Lane,Two Car Different,Yield,eHMI B,0.250278025865555,N/A,N/A,N/A,N/A,N/A,0.888737678527832,0.891132652759552,N/A,N/A,N/A,N/A,N/A,0.888737678527832,N/A,N/A,0.274948120117188,0.838557600975037,
3,Four Lane,Single Car,No Yield,N/A,0.250481158494949,N/A,N/A,N/A,N/A,N/A,0.910416901111603,N/A,N/A,N/A,N/A,N/A,N/A,0.910416901111603,N/A,N/A,0.277528047561646,0.861812055110931,
20,Three Lane,Single Car,No Yield,N/A,0.250591069459915,N/A,N/A,N/A,N/A,N/A,0.908787369728088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.237499892711639,5.26869583129883,
